"id_treatment","id_inoc","id_faeces","starting_date","weight_0dpi","weight_14dpi","water_content_14dpi","ph_14dpi","exclude","area_size_7dpi","area_size_14dpi","contamination_area_7dpi","contamination_area_14dpi","growth_description_7dpi","growth_description_14dpi","ecoli_conc","ecoli_conc_mean_0dpi","water_content_0dpi","ph_0dpi","species","production_date","growth_status_14dpi","weight_percent_change"
29,13,3,"2025-07-10T00:00:00Z",21.18,20.74,NA,5.56,NA,0.704,0.704,0,0,0,0,0,13332282.2822823,0.84,NA,"ctrl",NA,"No growth, no contamination",-2.0774315391879
30,13,3,"2025-07-10T00:00:00Z",23.02,22.8,NA,5.52,NA,0.646,0.646,0,0,0,0,0,13332282.2822823,0.84,NA,"ctrl",NA,"No growth, no contamination",-0.955690703735877
31,13,3,"2025-07-10T00:00:00Z",22.64,22.42,NA,5.55,NA,0.83,0.83,0,0,0,0,0,13332282.2822823,0.84,NA,"ctrl",NA,"No growth, no contamination",-0.97173144876323
72,29,6,"2025-07-24T00:00:00Z",21.87,NA,NA,NA,NA,0.85,0.85,0,0,0,0,NA,262596148.134949,0.7,NA,"ctrl",NA,"No growth, no contamination",NA
73,29,6,"2025-07-24T00:00:00Z",22,NA,NA,NA,NA,0.852,0.852,0,0,0,0,NA,262596148.134949,0.7,NA,"ctrl",NA,"No growth, no contamination",NA
74,29,6,"2025-07-24T00:00:00Z",21.85,NA,NA,NA,NA,0.707,0.707,0,0,0,0,NA,262596148.134949,0.7,NA,"ctrl",NA,"No growth, no contamination",NA
77,30,7,"2025-08-05T00:00:00Z",23.91,22.5,0.768888888888889,8.54,NA,3.141,32.172,0,63.617,2,1,1721698113.20755,18225140.6216252,0.71,NA,"T. harzianum T22",NA,"Growth, contaminated",-5.89711417816813
87,34,7,"2025-08-05T00:00:00Z",19.68,18.85,0.823728813559322,5.47,NA,0.727,0.727,0,0,0,0,0,18225140.6216252,0.71,NA,"ctrl",NA,"No growth, no contamination",-4.21747967479674
88,34,7,"2025-08-05T00:00:00Z",21.96,21.09,0.817275747508306,5.49,NA,0.752,0.725,0,0,0,0,7.09219858156028,18225140.6216252,0.71,NA,"ctrl",NA,"No growth, no contamination",-3.96174863387979
89,34,7,"2025-08-05T00:00:00Z",23.62,22.88,0.761658031088083,5.91,NA,0.616,0.616,0,0,0,0,0,18225140.6216252,0.71,NA,"ctrl",NA,"No growth, no contamination",-3.1329381879763
93,36,7,"2025-08-05T00:00:00Z",21.55,20.35,0.830708661417323,9.11,NA,63.617,63.617,0,0,2,1,532846715.328467,18225140.6216252,0.71,NA,"F35 Sordaria",NA,"Growth, no contamination",-5.56844547563805
94,36,7,"2025-08-05T00:00:00Z",20.92,19.22,0.822950819672131,8.94,NA,63.617,63.617,0,0,2,1,736666666.666667,18225140.6216252,0.71,NA,"F35 Sordaria",NA,"Growth, no contamination",-8.1261950286807
95,36,7,"2025-08-05T00:00:00Z",22.69,20.38,0.834920634920635,8.76,NA,63.617,63.617,0,0,2,1,675324675.324675,18225140.6216252,0.71,NA,"F35 Sordaria",NA,"Growth, no contamination",-10.1806963420009
104,41,8,"2025-08-07T00:00:00Z",23.31,22.21,0.8,8.75,NA,63.617,63.617,0,0,2,1,2806122.44897959,40341205.4601099,0.79,NA,"F35 Sordaria",NA,"Growth, no contamination",-4.71900471900471
105,41,8,"2025-08-07T00:00:00Z",20.46,18.84,0.774436090225563,8.82,NA,63.617,63.617,0,0,2,1,4312500,40341205.4601099,0.79,NA,"F35 Sordaria",NA,"Growth, no contamination",-7.91788856304988
106,41,8,"2025-08-07T00:00:00Z",20.99,20.16,0.818181818181818,8.73,NA,63.617,63.617,0,0,2,1,NA,40341205.4601099,0.79,NA,"F35 Sordaria",NA,"Growth, no contamination",-3.95426393520723
116,45,8,"2025-08-07T00:00:00Z",21.09,20.67,0.774390243902439,5.59,NA,0.747,0.747,0,0,0,0,217.054263565891,40341205.4601099,0.79,NA,"ctrl",NA,"No growth, no contamination",-1.99146514935988
118,45,8,"2025-08-07T00:00:00Z",19.4,18.93,0.769230769230769,5.65,NA,0.74,0.74,0,0,0,0,442.857142857143,40341205.4601099,0.79,NA,"ctrl",NA,"No growth, no contamination",-2.42268041237113
119,46,9,"2025-08-13T00:00:00Z",21.39,21.15,0.757105943152455,5.45,NA,0.683,0.683,0,0,0,0,0,304478.335495198,0.79,NA,"ctrl",NA,"No growth, no contamination",-1.12201963534363
120,46,9,"2025-08-13T00:00:00Z",18.9,18.63,0.75,5.6,NA,0.758,0.758,0,0,0,0,0,304478.335495198,0.79,NA,"ctrl",NA,"No growth, no contamination",-1.42857142857143
125,48,9,"2025-08-13T00:00:00Z",19.38,18.79,0.779026217228464,8.99,NA,63.617,63.617,0,0,2,1,57553.9568345324,304478.335495198,0.79,NA,"F35 Sordaria",NA,"Growth, no contamination",-3.04437564499484
126,48,9,"2025-08-13T00:00:00Z",19.66,19.11,0.763888888888889,9.01,NA,63.617,63.617,0,0,2,1,24295.7746478873,304478.335495198,0.79,NA,"F35 Sordaria",NA,"Growth, no contamination",-2.79755849440489
127,48,9,"2025-08-13T00:00:00Z",20.15,19.76,0.757692307692308,8.93,NA,63.617,63.617,0,0,2,1,8333.33333333333,304478.335495198,0.79,NA,"F35 Sordaria",NA,"Growth, no contamination",-1.93548387096773
