"id_treatment","id_inoc","id_faeces","starting_date","weight_0dpi","weight_14dpi","water_content_14dpi","ph_14dpi","exclude","area_size_7dpi","area_size_14dpi","contamination_area_7dpi","contamination_area_14dpi","growth_description_7dpi","growth_description_14dpi","ecoli_conc","ecoli_conc_mean_0dpi","water_content_0dpi","ph_0dpi","species","production_date","growth_status_14dpi","weight_percent_change"
29,13,3,"2025-07-10T00:00:00Z",21.18,20.74,NA,5.56,NA,0.704,0.704,0,0,0,0,0,13332282.2822823,0.84,NA,"ctrl",NA,"No growth, no contamination",-2.0774315391879
30,13,3,"2025-07-10T00:00:00Z",23.02,22.8,NA,5.52,NA,0.646,0.646,0,0,0,0,0,13332282.2822823,0.84,NA,"ctrl",NA,"No growth, no contamination",-0.955690703735877
31,13,3,"2025-07-10T00:00:00Z",22.64,22.42,NA,5.55,NA,0.83,0.83,0,0,0,0,0,13332282.2822823,0.84,NA,"ctrl",NA,"No growth, no contamination",-0.97173144876323
32,14,4,"2025-07-15T00:00:00Z",20.3,NA,NA,NA,NA,6.874,9.803,39.23,59.048,2,1,NA,4610892.90390155,0.87,NA,"F15 Faecal isolate 1",NA,"No growth, contaminated",NA
33,14,4,"2025-07-15T00:00:00Z",21.22,NA,NA,NA,NA,7.317,10.522,48,63.617,2,1,NA,4610892.90390155,0.87,NA,"F15 Faecal isolate 1",NA,"No growth, contaminated",NA
34,14,4,"2025-07-15T00:00:00Z",22.01,NA,NA,NA,NA,3.645,4.833,45,63.617,2,1,NA,4610892.90390155,0.87,NA,"F15 Faecal isolate 1",NA,"No growth, contaminated",NA
35,15,4,"2025-07-15T00:00:00Z",21.22,NA,NA,NA,NA,13.64,13.826,52,63.617,2,1,NA,4610892.90390155,0.87,NA,"F31 Mucor spp I3",NA,"No growth, contaminated",NA
36,15,4,"2025-07-15T00:00:00Z",21.86,NA,NA,NA,NA,9.279,12.142,54,63.617,2,1,NA,4610892.90390155,0.87,NA,"F31 Mucor spp I3",NA,"No growth, contaminated",NA
37,15,4,"2025-07-15T00:00:00Z",21.57,NA,NA,NA,NA,1.541,1.494,50,63.617,2,1,NA,4610892.90390155,0.87,NA,"F31 Mucor spp I3",NA,"No growth, contaminated",NA
38,16,4,"2025-07-15T00:00:00Z",21.61,NA,NA,NA,NA,0.512,0.512,46,63.617,0,0,NA,4610892.90390155,0.87,NA,"ctrl",NA,"No growth, contaminated",NA
39,16,4,"2025-07-15T00:00:00Z",21.39,NA,NA,NA,NA,0.503,0.503,47,63.617,0,0,NA,4610892.90390155,0.87,NA,"ctrl",NA,"No growth, contaminated",NA
40,16,4,"2025-07-15T00:00:00Z",22.02,NA,NA,NA,NA,0.484,0.484,55,63.617,0,0,NA,4610892.90390155,0.87,NA,"ctrl",NA,"No growth, contaminated",NA
42,18,4,"2025-07-15T00:00:00Z",21.26,NA,NA,NA,NA,0.798,0.813,63.617,63.617,2,1,NA,4610892.90390155,0.87,NA,"T. koningii",NA,"No growth, contaminated",NA
49,21,5,"2025-07-22T00:00:00Z",22.66,NA,NA,NA,NA,3.096,4.491,0,63.617,2,2,NA,50158730.1587302,0.8,NA,"T. harzianum CBS245.93",NA,"No growth, contaminated",NA
50,21,5,"2025-07-22T00:00:00Z",22.93,NA,NA,NA,NA,3.363,5.014,2.788,63.617,2,2,NA,50158730.1587302,0.8,NA,"T. harzianum CBS245.93",NA,"No growth, contaminated",NA
51,21,5,"2025-07-22T00:00:00Z",21.07,NA,NA,NA,NA,4.314,4.314,13.485,51.216,4,4,NA,50158730.1587302,0.8,NA,"T. harzianum CBS245.93",NA,"No growth, contaminated",NA
52,22,5,"2025-07-22T00:00:00Z",23.35,NA,NA,NA,NA,0.667,0.667,0,63.617,0,0,NA,50158730.1587302,0.8,NA,"ctrl",NA,"No growth, contaminated",NA
53,22,5,"2025-07-22T00:00:00Z",22.77,NA,NA,NA,NA,0.68,0.68,0,63.617,0,0,NA,50158730.1587302,0.8,NA,"ctrl",NA,"No growth, contaminated",NA
54,22,5,"2025-07-22T00:00:00Z",21.78,NA,NA,NA,NA,0.55,0.55,0,63.617,0,0,NA,50158730.1587302,0.8,NA,"ctrl",NA,"No growth, contaminated",NA
61,25,5,"2025-07-22T00:00:00Z",23.32,NA,NA,NA,NA,2.895,2.97,0.98,63.617,5,2,NA,50158730.1587302,0.8,NA,"T. harzianum T22",NA,"No growth, contaminated",NA
62,25,5,"2025-07-22T00:00:00Z",22.7,NA,NA,NA,NA,2.923,3.601,0.32,54.075,4,2,NA,50158730.1587302,0.8,NA,"T. harzianum T22",NA,"No growth, contaminated",NA
63,26,6,"2025-07-24T00:00:00Z",21.88,NA,NA,NA,NA,0.749,0.749,0,0,0,0,NA,262596148.134949,0.7,NA,"T. harzianum T22",NA,"No growth, no contamination",NA
64,26,6,"2025-07-24T00:00:00Z",23.11,NA,NA,NA,NA,0.762,0.762,0,0,0,0,NA,262596148.134949,0.7,NA,"T. harzianum T22",NA,"No growth, no contamination",NA
65,26,6,"2025-07-24T00:00:00Z",21.41,NA,NA,NA,NA,0.748,0.748,0,0,0,0,NA,262596148.134949,0.7,NA,"T. harzianum T22",NA,"No growth, no contamination",NA
66,27,6,"2025-07-24T00:00:00Z",22.62,NA,NA,NA,NA,0.68,0.68,0,0,0,0,NA,262596148.134949,0.7,NA,"T. harzianum CBS245.93",NA,"No growth, no contamination",NA
67,27,6,"2025-07-24T00:00:00Z",22.68,NA,NA,NA,NA,0.767,0.767,0,0,0,0,NA,262596148.134949,0.7,NA,"T. harzianum CBS245.93",NA,"No growth, no contamination",NA
68,27,6,"2025-07-24T00:00:00Z",22.08,NA,NA,NA,NA,NA,0.754,NA,0,NA,0,NA,262596148.134949,0.7,NA,"T. harzianum CBS245.93",NA,"No growth, no contamination",NA
72,29,6,"2025-07-24T00:00:00Z",21.87,NA,NA,NA,NA,0.85,0.85,0,0,0,0,NA,262596148.134949,0.7,NA,"ctrl",NA,"No growth, no contamination",NA
73,29,6,"2025-07-24T00:00:00Z",22,NA,NA,NA,NA,0.852,0.852,0,0,0,0,NA,262596148.134949,0.7,NA,"ctrl",NA,"No growth, no contamination",NA
74,29,6,"2025-07-24T00:00:00Z",21.85,NA,NA,NA,NA,0.707,0.707,0,0,0,0,NA,262596148.134949,0.7,NA,"ctrl",NA,"No growth, no contamination",NA
75,30,7,"2025-08-05T00:00:00Z",22.81,22.05,NA,NA,NA,0.648,0.648,0,1.834,0,0,NA,18225140.6216252,0.71,NA,"T. harzianum T22",NA,"No growth, no contamination",-3.33187198597106
76,30,7,"2025-08-05T00:00:00Z",23,22.3,NA,NA,NA,0.731,0.731,0,0,0,0,NA,18225140.6216252,0.71,NA,"T. harzianum T22",NA,"No growth, no contamination",-3.04347826086956
77,30,7,"2025-08-05T00:00:00Z",23.91,22.5,0.768888888888889,8.54,NA,3.141,32.172,0,63.617,2,1,1721698113.20755,18225140.6216252,0.71,NA,"T. harzianum T22",NA,"Growth, contaminated",-5.89711417816813
78,31,7,"2025-08-05T00:00:00Z",22.83,21.96,NA,NA,NA,0.77,0.77,0,0,0,0,NA,18225140.6216252,0.71,NA,"T. harzianum CBS245.93",NA,"No growth, no contamination",-3.81077529566359
79,31,7,"2025-08-05T00:00:00Z",20.25,19.57,NA,NA,NA,0.797,0.797,0,0,0,0,NA,18225140.6216252,0.71,NA,"T. harzianum CBS245.93",NA,"No growth, no contamination",-3.35802469135802
80,31,7,"2025-08-05T00:00:00Z",19.55,18.91,NA,NA,NA,0.903,0.903,0,0,0,0,NA,18225140.6216252,0.71,NA,"T. harzianum CBS245.93",NA,"No growth, no contamination",-3.27365728900256
84,31,7,"2025-08-05T00:00:00Z",22.66,21.96,NA,NA,NA,0.67,0.67,0,0,0,0,NA,18225140.6216252,0.71,NA,"T. harzianum CBS245.93",NA,"No growth, no contamination",-3.08914386584289
85,31,7,"2025-08-05T00:00:00Z",22.61,20.86,0.74468085106383,8.73,NA,1.432,1.432,47.395,63.617,5,2,1402542372.88136,18225140.6216252,0.71,NA,"T. harzianum CBS245.93",NA,"No growth, contaminated",-7.73993808049536
86,31,7,"2025-08-05T00:00:00Z",22.06,21.31,NA,NA,NA,0.773,0.773,0,0,0,0,NA,18225140.6216252,0.71,NA,"T. harzianum CBS245.93",NA,"No growth, no contamination",-3.39981867633726
87,34,7,"2025-08-05T00:00:00Z",19.68,18.85,0.823728813559322,5.47,NA,0.727,0.727,0,0,0,0,0,18225140.6216252,0.71,NA,"ctrl",NA,"No growth, no contamination",-4.21747967479674
88,34,7,"2025-08-05T00:00:00Z",21.96,21.09,0.817275747508306,5.49,NA,0.752,0.725,0,0,0,0,7.09219858156028,18225140.6216252,0.71,NA,"ctrl",NA,"No growth, no contamination",-3.96174863387979
89,34,7,"2025-08-05T00:00:00Z",23.62,22.88,0.761658031088083,5.91,NA,0.616,0.616,0,0,0,0,0,18225140.6216252,0.71,NA,"ctrl",NA,"No growth, no contamination",-3.1329381879763
93,36,7,"2025-08-05T00:00:00Z",21.55,20.35,0.830708661417323,9.11,NA,63.617,63.617,0,0,2,1,532846715.328467,18225140.6216252,0.71,NA,"F35 Sordaria",NA,"Growth, no contamination",-5.56844547563805
94,36,7,"2025-08-05T00:00:00Z",20.92,19.22,0.822950819672131,8.94,NA,63.617,63.617,0,0,2,1,736666666.666667,18225140.6216252,0.71,NA,"F35 Sordaria",NA,"Growth, no contamination",-8.1261950286807
95,36,7,"2025-08-05T00:00:00Z",22.69,20.38,0.834920634920635,8.76,NA,63.617,63.617,0,0,2,1,675324675.324675,18225140.6216252,0.71,NA,"F35 Sordaria",NA,"Growth, no contamination",-10.1806963420009
104,41,8,"2025-08-07T00:00:00Z",23.31,22.21,0.8,8.75,NA,63.617,63.617,0,0,2,1,2806122.44897959,40341205.4601099,0.79,NA,"F35 Sordaria",NA,"Growth, no contamination",-4.71900471900471
105,41,8,"2025-08-07T00:00:00Z",20.46,18.84,0.774436090225563,8.82,NA,63.617,63.617,0,0,2,1,4312500,40341205.4601099,0.79,NA,"F35 Sordaria",NA,"Growth, no contamination",-7.91788856304988
106,41,8,"2025-08-07T00:00:00Z",20.99,20.16,0.818181818181818,8.73,NA,63.617,63.617,0,0,2,1,NA,40341205.4601099,0.79,NA,"F35 Sordaria",NA,"Growth, no contamination",-3.95426393520723
110,43,8,"2025-08-07T00:00:00Z",19.98,19.24,0.747826086956523,8.12,NA,7.104,10.385,0,26.229,2,1,NA,40341205.4601099,0.79,NA,"T. koningii",NA,"No growth, contaminated",-3.7037037037037
111,43,8,"2025-08-07T00:00:00Z",24.13,23.55,0.798994974874372,8.31,NA,6.216,9.065,0,37.162,2,1,NA,40341205.4601099,0.79,NA,"T. koningii",NA,"No growth, contaminated",-2.40364691255698
112,43,8,"2025-08-07T00:00:00Z",20.91,20.64,0.666666666666667,8.18,NA,6.566,9.507,0,63.617,2,1,NA,40341205.4601099,0.79,NA,"T. koningii",NA,"No growth, contaminated",-1.29124820659971
116,45,8,"2025-08-07T00:00:00Z",21.09,20.67,0.774390243902439,5.59,NA,0.747,0.747,0,0,0,0,217.054263565891,40341205.4601099,0.79,NA,"ctrl",NA,"No growth, no contamination",-1.99146514935988
117,45,8,"2025-08-07T00:00:00Z",20.1,19.65,0.804878048780488,8,NA,0.71,0.71,63.617,63.617,0,0,NA,40341205.4601099,0.79,NA,"ctrl",NA,"No growth, contaminated",-2.23880597014927
118,45,8,"2025-08-07T00:00:00Z",19.4,18.93,0.769230769230769,5.65,NA,0.74,0.74,0,0,0,0,442.857142857143,40341205.4601099,0.79,NA,"ctrl",NA,"No growth, no contamination",-2.42268041237113
119,46,9,"2025-08-13T00:00:00Z",21.39,21.15,0.757105943152455,5.45,NA,0.683,0.683,0,0,0,0,0,304478.335495198,0.79,NA,"ctrl",NA,"No growth, no contamination",-1.12201963534363
120,46,9,"2025-08-13T00:00:00Z",18.9,18.63,0.75,5.6,NA,0.758,0.758,0,0,0,0,0,304478.335495198,0.79,NA,"ctrl",NA,"No growth, no contamination",-1.42857142857143
121,46,9,"2025-08-13T00:00:00Z",20.31,19.73,0.769230769230769,8.94,NA,0.722,0.722,40.53,63.617,0,0,7079646.01769912,304478.335495198,0.79,NA,"ctrl",NA,"No growth, contaminated",-2.85573609059576
125,48,9,"2025-08-13T00:00:00Z",19.38,18.79,0.779026217228464,8.99,NA,63.617,63.617,0,0,2,1,57553.9568345324,304478.335495198,0.79,NA,"F35 Sordaria",NA,"Growth, no contamination",-3.04437564499484
126,48,9,"2025-08-13T00:00:00Z",19.66,19.11,0.763888888888889,9.01,NA,63.617,63.617,0,0,2,1,24295.7746478873,304478.335495198,0.79,NA,"F35 Sordaria",NA,"Growth, no contamination",-2.79755849440489
127,48,9,"2025-08-13T00:00:00Z",20.15,19.76,0.757692307692308,8.93,NA,63.617,63.617,0,0,2,1,8333.33333333333,304478.335495198,0.79,NA,"F35 Sordaria",NA,"Growth, no contamination",-1.93548387096773
